line_id,character,line,TextBlob_subjectivity,TextBlob_polarity,TextBlob_analysis
1,JOY,Let's! Play! Some! HOCKEY!!!,0,0,Neutral
2,JOY,"This is Jane, comin' from you live in Riley's mind! And we are expecting a great championship today with the Foghorns! Riley fans! Get up on your feet and MAKE SOME NOISE!!!",0.625,0.585227273,Positive
3,JILLIAN MARIE ANDERSEN,"GO, GO, GO!!",0,0,Neutral
4,JILLIAN MARIE ANDERSEN,"LET'S GO, FOGHORNS!!!",0,0,Neutral
5,WILLIAM ANDERSEN,"LET'S GO, FOGHORNS!!!",0,0,Neutral
6,RILEY ANDERSEN,"Bring it in! Foghorns, on three! One, two, three!",0,0,Neutral
7,FOGHORNS,FOGHORNS!!!,0,0,Neutral
8,JOY,"Now it's time to greet your Team Riley! Playing in his thirteenth year and fresh from the Penalty Box, it's Riley's Andy!",0.5,0.375,Positive
9,ANGER,LET ME AT 'EM!!!,0,0,Neutral
10,RILEY ANDERSEN,Whoo!,0,0,Neutral
11,FEAR,"Helmet, pads, gloves, safety check list is complete! It should be nothin' but smooth sailing from-- AHH!!! LOOK OUT!!!",0.45,0.5625,Positive
12,JOY,And that's Frank! Keepin' Riley on her toes!,0,0,Neutral
13,FEAR,"We gotta get our mouth guard, people!",0,0,Neutral
14,DISGUST,"No, no, no, no! That's not ours!",0,0,Neutral
15,RILEY ANDERSEN,BLECH!!!,1,-1,Negative
16,JOY,"And that, folks, is the infamous Doug! Glad to have her on the team!",1,0,Neutral
17,REFEREE,28! Andersen! Tripping!,0,0,Neutral
18,SADNESS,"Oh, no.",0,0,Neutral
19,JOY,"And bringing it up from the rear! You know you love her! The one, the only…",0.6,0.625,Positive
20,SADNESS,Oh! We got a penalty…!,0,0,Neutral
21,JOY,That's right! Steve is in da house!,0.535714286,0.446428571,Positive
22,SADNESS,Yay…,0,0,Neutral
23,HOCKEY COMMENTATOR,Andersen goes to the box 2 minutes for tripping!,0,0,Neutral
24,JOY,"Okay, looks like we have a couple of minutes while Riley takes a breather, let me catch you up. Riley is still exceptional.",0.75,0.583333333,Positive
25,RILEY ANDERSEN,Ta-Da!,0,0,Neutral
26,JILLIAN MARIE ANDERSEN,Oh. Yum!,0,0,Neutral
27,JOY,"And not just because she's the top of her class, which by the way, she is…",0.5,0.5,Positive
28,WILLIAM ANDERSEN,Riley! Riley! Over here!,0,0,Neutral
29,JOY,"She's also really kind. And she's nice to stray cats, I mean, come on! Oh! And she's officially a teenager now! She got very tall. Very fast.",0.7335,0.209929688,Positive
30,ANGER,Did we grow overnight?!,0,0,Neutral
31,SADNESS,Oh. That was our favorite shirt…,1,0.5,Positive
32,JOY,We even got braces with extra rubber bands!,0.1,0,Neutral
33,DENTIST,How does it feel?,0,0,Neutral
34,RILEY ANDERSEN,Great!,0.75,1,Positive
35,DENTIST,Ow!,0,0,Neutral
36,RILEY ANDERSEN,Sorry.,1,-0.5,Negative
37,JOY,Riley's Personality Islands are still going strong.,0.733333333,0.433333333,Positive
38,DISGUST,Glad to see Boy Band Island finally broke up.,1,0.25,Positive
39,FEAR,But Goofball is still monkeyin' around!,0,0,Neutral
40,SADNESS,"Wait, where's Family Island?",0,0,Neutral
41,JOY,It's right there!,0.535714286,0.357142857,Positive
42,SADNESS,"Oh! There it is. Uh, what's that blocking it?",0,0,Neutral
43,JOY,Oh! That's Friendship Island! Isn't it amazing?,0.9,0.6,Positive
44,JOY,"But we realized her islands aren't the only things made by memories. Way down at the root level, these memories were also creating beliefs.",0.644444444,-0.077777778,Negative
45,RILEY ANDERSEN'S 2ND BELIEF,Homework should be illegal.,0.5,-0.5,Negative
46,RILEY ANDERSEN'S 3RD BELIEF,Get Up and Glow is the best band ever!,0.3,1,Positive
47,JOY,And my personal favorite?,0.65,0.25,Positive
48,RILEY ANDERSEN'S 1ST BELIEF,I'm a really good friend.,0.6,0.7,Positive
49,YOUNG GRACE HSIEH,Did you know the change in your couch could change the world--!,0,0,Neutral
50,JOY,"Oh, no. We should do somethin'.",0,0,Neutral
51,DISGUST,No! That girl is a social titanic! Do not get on that ship!,0.066666667,0.052083333,Positive
52,FEAR,"Uh, guys?",0,0,Neutral
53,YOUNG RILEY ANDERSEN,It's okay. I drop things all the time. I'm Riley.,0.5,0.5,Positive
54,YOUNG GRACE HSIEH,I'm Grace.,0,0,Neutral
55,"YOUNG BREEONNA ""BREE"" YOUNG",I'm Bree.,0,0,Neutral
56,JOY,"Turns out when you put all those beliefs together, they make the most wonderful thing of all: Her Sense of Self.",0.75,0.75,Positive
57,RILEY ANDERSEN'S SENSE OF SELF,I'm a good person.,0.6,0.7,Positive
58,JOY,It's what helps Riley make good choices. Thirteen years of hard work all wrapped up and some might call our masterpiece. You know one of our hardest challenges-- Oh! Back to the game!,0.385416667,-0.041145833,Negative
59,SADNESS,We're tied!,0,0,Neutral
60,DISGUST,How are we gonna score on time?!,0,0,Neutral
61,FEAR,Whe use our slap shot!,0,0,Neutral
62,ANGER,"No, no, no! We charge the goalie!",0,0,Neutral
63,SADNESS,But Grace hasn't scored yet!,0,0,Neutral
64,JOY,Riley's got this.,0,0,Neutral
65,RILEY ANDERSEN,Thread the needle!,0,0,Neutral
66,JOY,"Come on, Riley.",0,0,Neutral
67,"BREEONNA ""BREE"" YOUNG, GRACE HSIEH",AWOOGA!!!,0,0,Neutral
68,RILEY ANDERSEN,AWOOGA!!!,0,0,Neutral
69,"JOY, SADNESS, ANGER, DISGUST",AWOOGA!!!,0,0,Neutral
70,FEAR,AWOOGA!!!,0,0,Neutral
71,WILLIAM ANDERSEN,THAT'S WHAT I'M TALKIN' ABOUT!!,0,0,Neutral
72,JILLIAN MARIE ANDERSEN,GO RILEY!!!,0,0,Neutral
73,WILLIAM ANDERSEN,LOOK AT THAT!!! THAT'S MY GIRL!!!,0,0,Neutral
74,HOCKEY COMMENTATOR,The Foghorns win the championships!,0.4,1,Positive
75,RILEY ANDERSEN,"She shoots, and she scores!",0,0,Neutral
76,COACH ROBERTS,Hey girls. Congratulations on your win.,0.4,0.8,Positive
77,JOY,That's the high school coach!,0.54,0.2,Positive
78,COACH ROBERTS,What a game! That last play? Whoo! The three of you were impressive.,0.488888889,0.166666667,Positive
79,RILEY,Thanks Coach Roberts.,0.2,0.2,Positive
80,COACH ROBERTS,"Look, it's last minute, but every year, I do a 3 day skills camp. I invite all the best players in the area. I love for you girls to come.",0.322222222,0.5,Positive
81,FEAR,Are we in a dream right now? Please can somebody pinch me?,0.535714286,0.285714286,Positive
82,FEAR,Definitely awake.,0.5,0,Neutral
83,JOY,"If we impress coach, she'll put the 3 of us on the team next year.",0,0,Neutral
84,ANGER,"Ooh, the Fire Hawks. Finally a team I can get behind.",0.85,-0.2,Negative
85,COACH ROBERTS,What do ya say?,0,0,Neutral
86,RILEY,"YES!! Thank you, coach! Thank you, thank you, thank you!",0,0,Neutral
87,BREE,YES!!,0,0,Neutral
88,GRACE,YES!!,0,0,Neutral
89,COACH ROBERTS,Great. We'll see you tomorrow.,0.75,0.8,Positive
90,MRS. ANDERSEN,What a big day.,0.1,0,Neutral
